"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
18950,,42500,2012,,116,,"Schoten","2900",,"http://fr.ww3.autoscout24.be/classified/297406193?asrc=st|as","MINI","Autoscout24","AS_297406193","2016-10-06T20:00:15.533Z"
16700,,30600,2015,,131,,"Tarcienne","5651",,"http://fr.ww3.autoscout24.be/classified/297406156?asrc=st|as","Renault","Autoscout24","AS_297406156","2016-10-06T20:00:26.397Z"
21000,,41000,2013,,110,,"Achêne","5590",,"http://fr.ww3.autoscout24.be/classified/297406684?asrc=st|as","Volkswagen","Autoscout24","AS_297406684","2016-10-06T20:02:13.965Z"
7999,,68000,2011,,75,,"West-Vlaanderen","8750",,"http://fr.ww3.autoscout24.be/classified/297405702?asrc=st|as","Volkswagen","Autoscout24","AS_297405702","2016-10-06T20:02:24.234Z"
16000,,92000,2011,,197,,"Deurne","2100",,"http://fr.ww3.autoscout24.be/classified/297405671?asrc=st|as","Hyundai","Autoscout24","AS_297405671","2016-10-06T20:02:34.387Z"
28500,,80000,2012,,184,,"Beveren","9120",,"http://fr.ww3.autoscout24.be/classified/297405609?asrc=st|as","BMW","Autoscout24","AS_297405609","2016-10-06T20:02:43.953Z"
16500,,24000,2015,,116,,"Herstal","4041",,"http://fr.ww3.autoscout24.be/classified/297405536?asrc=st|as","Opel","Autoscout24","AS_297405536","2016-10-06T20:02:54.671Z"
16000,,52500,2013,,135,,"Mariakerke","9030",,"http://fr.ww3.autoscout24.be/classified/297405517?asrc=st|as","Kia","Autoscout24","AS_297405517","2016-10-06T20:03:03.880Z"
64500,,54000,2014,,551,,"Alken","3570",,"http://fr.ww3.autoscout24.be/classified/297405497?asrc=st|as","Jaguar","Autoscout24","AS_297405497","2016-10-06T20:03:14.026Z"
19500,,9487,2015,,116,,"Otegem","8553",,"http://fr.ww3.autoscout24.be/classified/297405073?asrc=st|as","Peugeot","Autoscout24","AS_297405073","2016-10-06T20:03:24.456Z"
